,Year,Sampling_Unit_Name,Longitude,Latitude,Cabassous tatouay,Canis familiaris,Cerdocyon thous,Cuniculus paca,Dasyprocta azarae,Dasypus ,Dasypus novemcinctus,Didelphis ,Didelphis albiventris,Didelphis aurita,Eira barbara,Equus ,Galictis cuja,Herpailurus yagouaroundi,Leopardus ,Leopardus guttulus,Leopardus pardalis,Leopardus wiedii,Lepus europaeus,Mazama ,Mazama gouazoubira,Mazama jucunda,Myrmecophaga tridactyla,Nasua nasua,Panthera onca,Pecari tajacu,Procyon cancrivorus,Puma concolor,Speothos venaticus,Sus scrofa,Tamandua tetradactyla,Tapirus terrestris,Tayassu pecari
1,2022,4,-48.799121,-25.852281,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2,2022,22,-47.497403,-24.186748,0,1,0,13,0,0,2,0,0,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
3,2022,39,-47.39674,-24.050512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,4,0
4,2022,43,-48.635362,-24.603208,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2022,52,-48.348463,-24.615428,0,0,0,3,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2022,57,-47.168733,-23.945343,0,5,0,0,0,0,2,0,3,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
7,2022,70,-47.978566,-25.093007,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2022,75,-47.981865,-25.183342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9,2022,76,-47.442567,-24.119357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2022,93,-48.642292,-24.383162,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
11,2022,95,-48922,-25.79633,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2022,108,-48.719411,-24.861807,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,1,2,0,0,0,7,0
13,2022,110,-48.689936,-25.325414,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0
14,2022,113,-48.084424,-25.217264,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2022,117,-47.982303,-24.057917,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,6,0,0,0,42,0
16,2022,138,-47.600078,-24.103973,0,0,1,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3
17,2022,149,-48.317655,-24.44505,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2022,154,-48.435969,-25.106311,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,2022,167,-48.274788,-24.30358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,3,0
20,2022,181,-47.925996,-25.081055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
21,2022,187,-47.546233,-24.224305,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,1
22,2022,204,-48.979207,-25.447173,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,2022,213,-48.766393,-25.701146,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
24,2022,220,-48.784639,-24.581146,0,1,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,2022,224,-48.68855,-25.175133,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0
26,2022,225,-48.040733,-24.111813,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
27,2022,227,-47.485827,-24.018497,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
28,2022,247,-48.633617,-24.818895,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,3,0,0,0,4,0
29,2022,249,-47.810147,-24.019097,0,11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,2022,263,-48.912273,-25.721102,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
31,2022,272,-48.583563,-24.515637,0,0,0,3,0,0,4,0,0,1,14,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,2022,283,-48.606602,-25.03941,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
33,2022,285,-48.745413,-24.462833,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2022,288,-48.821785,-25.350201,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
35,2022,305,-48.266823,-24.980218,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
